Blended Classifiers,Total Classifers,Accuracy,Precision,Recall,F1-Score,Confusion Matrix,Kappa,Execution Time (s),Total Classifiers,Total Features,Training Data Size,Test Data Size,Random State,Preprocessing,SMOTE,Total CPU Cores,CPU Usage (%),Total RAM,Memory Usage,Processor Type,OS
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4386894702911377,2,10837,7512,1878,0,1,1,2,24.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.377720594406128,2,10837,7512,1878,0,1,1,2,31.9,12982.625,23.20 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4386894702911377,2,10837,7512,1878,0,1,1,2,24.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.387375593185425,2,10837,7512,1878,0,1,1,2,35.39999999999999,12982.625,9.65 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7577209797657082,0.8026681308450817,0.7577209797657082,0.7535822732419675,"[[621   4   1]
 [181 410  16]
 [149 104 392]]",0.636901289111118,2.4138357639312744,2,10837,7512,1878,0,1,1,2,30.0,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.3502743244171143,2,10837,7512,1878,0,1,1,2,30.300000000000004,12982.625,5.17 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.289959192276001,2,10837,7512,1878,0,1,1,2,42.1,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.5214030742645264,2,10837,7512,1878,0,1,1,2,85.5,12982.625,20.52 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.377720594406128,2,10837,7512,1878,0,1,1,2,31.9,12982.625,23.20 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.755591054313099,0.798122881723952,0.755591054313099,0.7526657147030761,"[[617  13   1]
 [187 415  30]
 [155  73 387]]",0.6328864808417868,2.4231739044189453,2,10837,7512,1878,0,1,1,2,47.6,12982.625,20.11 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4875705242156982,2,10837,7512,1878,0,1,1,2,31.099999999999994,12982.625,2.10 MB,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7539936102236422,0.7965839586756616,0.7539936102236422,0.750418464361412,"[[604   5   0]
 [190 414  31]
 [146  90 398]]",0.6322365456762671,2.4386894702911377,2,10837,7512,1878,0,1,1,2,24.8,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7523961661341853,0.7878772310294945,0.7523961661341853,0.74613181968366,"[[644   0   2]
 [185 390  44]
 [148  86 379]]",0.6268990542059573,2.3260748386383057,2,10837,7512,1878,0,1,1,2,38.99999999999999,12982.625,0 bytes,x86_64,Linux(5.15.120+)
"('Naive Bayes', 'Gaussian Naive Bayes')",2,0.7433439829605963,0.79209853228725,0.7433439829605963,0.7389880199024218,"[[626   4   1]
 [199 394  39]
 [172  67 376]]",0.614491471033284,2.555671215057373,2,10771,7512,1878,42,1,1,2,45.2,12982.625,16.66 MB,x86_64,Linux(5.15.120+)
